FID IID BirthYear MumID
1 1592 1986 577
1 1648 1986 425
1 1665 1986 567
1 1642 1986 1289
1 1739 1987 205
1 1734 1987 420
1 1743 1987 1246
1 1744 1987 1101
1 1745 1987 418
1 1746 1987 1554
1 1749 1987 1243
1 1750 1987 1080
1 1751 1987 1080
1 1754 1987 1589
1 1741 1987 557
1 1742 1987 424
1 1779 1987 416
1 1780 1987 416
1 1784 1987 1597
1 1785 1987 1639
1 1790 1987 1623
1 1792 1987 1081
1 1793 1987 1081
1 1797 1987 1622
1 1799 1987 1244
1 1801 1987 753
1 1803 1987 1288
1 1808 1987 1082
1 1817 1987 1631
1 1818 1987 567
1 1819 1987 1605
1 1833 1987 1251
1 1834 1987 560
1 1756 1987 1226
1 1758 1987 1649
1 1760 1987 906
1 1762 1987 1259
1 1765 1987 1090
1 1767 1987 12
1 1768 1987 1263
1 1769 1987 1089
1 1774 1987 1094
1 1777 1987 36
1 1899 1987 19
1 1847 1987 899
1 1876 1987 425
1 1877 1987 426
1 1880 1987 1072
1 1883 1987 1258
1 1884 1987 1109
1 1885 1987 752
1 1887 1987 1260
1 1835 1987 1583
1 1841 1987 415
1 1891 1987 1079
1 1890 1987 1082
1 1963 1988 1089
1 2064 1988 1072
1 2066 1988 899
1 2067 1988 904
1 2069 1988 1095
1 2071 1988 1246
1 2072 1988 747
1 2073 1988 905
1 2074 1988 1554
1 2076 1988 29
1 2098 1989 1073
1 2099 1989 577
1 2126 1989 1109
1 2159 1989 1251
1 2169 1989 1079
1 2172 1989 1082
1 2173 1989 1586
1 2174 1989 1072
1 2108 1989 1887
1 2110 1989 1082
1 2252 1990 1662
1 2254 1990 1080
1 2248 1990 1741
1 2250 1990 1094
1 2299 1990 2169
1 2300 1990 749
1 2301 1990 2171
1 2302 1990 577
1 2303 1990 1225
1 2305 1990 1243
1 2308 1990 2067
1 2310 1990 2179
1 2311 1990 21
1 2315 1990 1083
1 2323 1990 1660
1 2327 1990 2105
1 2339 1990 36
1 2340 1990 29
1 2342 1990 1077
1 2343 1990 1078
1 2344 1990 1769
1 2349 1990 2164
1 2350 1990 2178
1 2351 1990 2163
1 2354 1990 1251
1 2356 1990 1082
1 2358 1990 1891
1 2359 1990 1877
1 2362 1990 755
1 2255 1990 906
1 2259 1990 1259
1 2262 1990 1664
1 2263 1990 1664
1 2265 1990 29
1 2267 1990 1109
1 2269 1990 1082
1 2274 1990 1821
1 2279 1990 1255
1 2281 1990 1079
1 2282 1990 2053
1 2285 1990 1877
1 2287 1990 2175
1 2293 1990 2120
1 2294 1990 1251
1 2369 1990 1252
1 2374 1990 2167
1 2375 1990 1757
1 2376 1990 1252
1 2377 1990 1784
1 2378 1990 2073
1 2379 1990 1880
1 2368 1990 2214
1 2435 1991 1097
1 2437 1991 1825
1 2440 1991 1899
1 2441 1991 1899
1 2436 1991 1825
1 2421 1991 577
1 2422 1991 2163
1 2424 1991 1288
1 2426 1991 2273
1 2431 1991 755
1 2432 1991 2066
1 2434 1991 2363
1 2452 1991 2164
1 2455 1991 2341
1 2456 1991 2178
1 2457 1991 2172
1 2459 1991 1741
1 2442 1991 2143
1 2444 1991 1098
1 2446 1991 2291
1 2447 1991 1101
1 2448 1991 1101
1 2449 1991 1242
1 2450 1991 1242
1 2451 1991 2164
1 2406 1991 1835
1 2408 1991 2245
1 2409 1991 425
1 2414 1991 2176
1 2416 1991 2165
1 2417 1991 904
1 2420 1991 577
1 2483 1991 1769
1 2484 1991 1769
1 2485 1991 36
1 2487 1991 1072
1 2488 1991 2167
1 2489 1991 1255
1 2490 1991 54
1 2494 1991 29
1 2495 1991 2353
1 2496 1991 1109
1 2497 1991 1109
1 2498 1991 1262
1 2502 1991 2366
1 2503 1991 1263
1 2504 1991 1660
1 2505 1991 1083
1 2508 1991 1820
