FID IID BirthYear MumID
1 1739 1987 205
1 2706 1992 415
1 2121 1989 415
1 1779 1987 416
1 1780 1987 416
1 1664 1986 416
1 2464 1991 567
1 1665 1986 567
1 2372 1990 574
1 2823 1993 577
1 2824 1993 577
1 2099 1989 577
1 2421 1991 577
1 2420 1991 577
1 2617 1992 577
1 3064 1994 747
1 1632 1986 751
1 2530 1991 751
1 1647 1986 752
1 1801 1987 753
1 2431 1991 755
1 2105 1989 755
1 2362 1990 755
1 2111 1989 906
1 2466 1991 906
1 1760 1987 906
1 2467 1991 906
1 2242 1990 910
1 2649 1992 910
1 2474 1991 910
1 2106 1989 910
1 2297 1990 1072
1 1623 1986 1072
1 3077 1994 1072
1 2174 1989 1072
1 2872 1993 1072
1 2645 1992 1072
1 2626 1992 1073
1 2486 1991 1073
1 2627 1992 1073
1 2843 1993 1073
1 2098 1989 1073
1 2170 1989 1078
1 3120 1994 1079
1 2523 1991 1079
1 2927 1993 1079
1 2169 1989 1079
1 2926 1993 1079
1 2637 1992 1080
1 2171 1989 1080
1 1605 1986 1080
1 1792 1987 1081
1 1793 1987 1081
1 2696 1992 1089
1 2461 1991 1090
1 2132 1989 1090
1 2462 1991 1090
1 2482 1991 1095
1 2481 1991 1095
1 2034 1988 1097
1 2620 1992 1097
1 2435 1991 1097
1 2245 1990 1098
1 2800 1993 1098
1 2176 1989 1098
1 2444 1991 1098
1 2410 1991 1103
1 2701 1992 1226
1 2123 1989 1226
1 2619 1992 1242
1 2893 1993 1242
1 2894 1993 1242
1 3134 1994 1242
1 1749 1987 1243
1 2165 1989 1244
1 3104 1994 1244
1 2260 1990 1244
1 2661 1992 1244
1 2096 1989 1246
1 2670 1992 1246
1 2671 1992 1246
1 2809 1993 1246
1 2808 1993 1246
1 2525 1991 1252
1 3507 1996 1255
1 2489 1991 1255
1 2650 1992 1255
1 3053 1994 1255
1 2146 1989 1256
1 3010 1994 1256
1 1635 1986 1256
1 2632 1992 1256
1 2856 1993 1256
1 2460 1991 1259
1 2624 1992 1259
1 2861 1993 1259
1 3047 1994 1259
1 2164 1989 1260
1 2278 1990 1262
1 2498 1991 1262
1 2898 1993 1262
1 2120 1989 1262
1 2899 1993 1262
1 2503 1991 1263
1 3004 1994 1264
1 2415 1991 1264
1 2840 1993 1552
1 3070 1994 1552
1 2839 1993 1552
1 2633 1992 1552
1 2128 1989 1553
1 2664 1992 1553
1 2916 1993 1554
1 2917 1993 1554
1 2291 1990 1554
1 2290 1990 1554
1 1784 1987 1597
1 1817 1987 1631
1 3086 1994 1649
1 2518 1991 1649
1 3272 1995 1649
1 2295 1990 1649
1 3087 1994 1649
1 3735 1997 1649
1 2929 1993 1649
1 2504 1991 1660
1 2698 1992 1660
1 2888 1993 1660
1 3108 1994 1660
1 2889 1993 1660
1 2177 1989 1662
1 2644 1992 1662
1 2837 1993 1662
1 2252 1990 1662
1 2657 1992 1663
1 3084 1994 1663
1 2877 1993 1663
1 2520 1991 1663
1 2876 1993 1663
1 3795 1997 1663
1 3037 1994 1664
1 3253 1995 1664
1 2688 1992 1664
1 2842 1993 1664
1 2469 1991 1664
1 3254 1995 1664
1 2468 1991 1664
1 3418 1996 1664
1 2628 1992 1664
1 3081 1994 1665
1 2892 1993 1665
1 2463 1991 1665
1 2648 1992 1665
1 3257 1995 1665
1 2901 1993 1666
1 3767 1997 1666
1 2248 1990 1741
1 3230 1995 1741
1 2827 1993 1741
1 3016 1994 1741
1 3667 1997 1741
1 2459 1991 1741
1 2828 1993 1741
1 2614 1992 1741
1 3666 1997 1741
1 3046 1994 1757
1 2878 1993 1757
1 3045 1994 1757
1 2483 1991 1769
1 2344 1990 1769
1 2484 1991 1769
1 3111 1994 1784
1 2703 1992 1820
1 2509 1991 1820
1 2508 1991 1820
1 3063 1994 1820
1 2884 1993 1820
1 2883 1993 1820
1 3083 1994 1821
1 2665 1992 1821
1 2845 1993 1825
1 2844 1993 1825
1 2437 1991 1825
1 2656 1992 1825
1 2436 1991 1825
1 3014 1994 1825
1 3113 1994 1834
1 2935 1993 1834
1 3485 1996 1834
1 2515 1991 1834
1 2214 1989 1834
1 2406 1991 1835
1 2341 1990 1835
1 4072 1998 1876
1 3270 1995 1876
1 3123 1994 1876
1 2533 1991 1876
1 2920 1993 1877
1 3777 1997 1877
1 3093 1994 1877
1 2678 1992 1877
1 2359 1990 1877
1 2285 1990 1877
1 3094 1994 1877
1 2921 1993 1877
1 3271 1995 1877
1 3526 1996 1877
1 2501 1991 1877
1 2500 1991 1877
1 2700 1992 1877
1 3112 1994 1880
1 3794 1997 1880
1 2910 1993 1880
1 2516 1991 1880
1 4044 1998 1880
1 2655 1992 1880
1 2379 1990 1880
1 2896 1993 1882
1 2616 1992 1882
1 3098 1994 1882
1 2897 1993 1882
1 3099 1994 1882
1 2643 1992 1885
1 3106 1994 1885
1 3107 1994 1885
1 2373 1990 1885
1 2641 1992 1887
1 2473 1991 1887
1 2108 1989 1887
1 2472 1991 1887
1 3105 1994 1887
1 2859 1993 1887
1 3274 1995 1891
1 3490 1996 1891
1 2831 1993 1891
1 3101 1994 1891
1 2662 1992 1891
1 2440 1991 1899
1 2441 1991 1899
1 2857 1993 1899
1 2858 1993 1899
1 3054 1994 1899
1 2256 1990 1981
1 3067 1994 2064
1 3637 1997 2064
1 2517 1991 2064
1 2244 1990 2066
1 4259 1999 2066
1 3402 1996 2066
1 2699 1992 2066
1 2432 1991 2066
1 3880 1998 2066
1 3220 1995 2066
1 3017 1994 2066
1 2830 1993 2066
1 2308 1990 2067
1 2886 1993 2069
1 4028 1998 2069
1 3501 1996 2069
1 2887 1993 2069
1 3085 1994 2069
1 2280 1990 2071
1 3275 1995 2071
1 2522 1991 2073
1 2685 1992 2073
1 3096 1994 2073
1 3095 1994 2073
1 3276 1995 2073
1 2695 1992 2073
1 3939 1998 2073
1 3499 1996 2073
1 3277 1995 2073
1 3765 1997 2073
1 3764 1997 2073
1 3940 1998 2073
1 2539 1991 2073
1 3500 1996 2073
1 2631 1992 2075
1 2895 1993 2075
1 2477 1991 2075
1 3719 1997 2075
1 2371 1990 2075
1 3071 1994 2075
1 3260 1995 2075
1 2945 1993 2076
1 2246 1990 2076
1 3930 1998 2076
1 2668 1992 2076
1 3770 1997 2076
1 2304 1990 2097
1 2327 1990 2105
1 2571 1991 2120
1 2425 1991 2128
1 2428 1991 2146
1 3440 1996 2146
1 3212 1995 2146
1 3109 1994 2146
1 2610 1992 2146
1 2427 1991 2146
1 3900 1998 2146
1 3211 1995 2146
1 2811 1993 2146
1 3899 1998 2146
1 3677 1997 2154
1 2514 1991 2154
1 3213 1995 2154
1 3905 1998 2154
1 2422 1991 2163
1 3250 1995 2163
1 3038 1994 2163
1 2822 1993 2163
1 3460 1996 2163
1 3461 1996 2163
1 2805 1993 2164
1 2806 1993 2164
1 2697 1992 2164
1 2623 1992 2164
1 3026 1994 2165
1 2416 1991 2165
1 2268 1990 2165
1 3031 1994 2167
1 2873 1993 2167
1 2663 1992 2167
1 3443 1996 2167
1 3992 1998 2167
1 3221 1995 2167
1 3721 1997 2167
1 2674 1992 2168
1 2476 1991 2168
1 2880 1993 2168
1 3061 1994 2168
1 3759 1997 2168
1 2299 1990 2169
1 2868 1993 2169
1 3034 1994 2169
1 3476 1996 2169
1 2667 1992 2169
1 3712 1997 2169
1 3285 1995 2170
1 2301 1990 2171
1 2604 1992 2172
1 2457 1991 2172
1 3486 1996 2172
1 3225 1995 2172
1 2818 1993 2172
1 3030 1994 2172
1 2521 1991 2175
1 2287 1990 2175
1 3201 1995 2176
1 2414 1991 2176
1 3636 1997 2176
1 3401 1996 2176
1 3002 1994 2176
1 2796 1993 2176
1 3245 1995 2177
1 2885 1993 2177
1 2480 1991 2177
1 3042 1994 2177
1 2276 1990 2177
1 3749 1997 2177
1 2669 1992 2177
1 2456 1991 2178
1 3226 1995 2178
1 3726 1997 2178
1 3458 1996 2178
1 3459 1996 2178
1 3727 1997 2178
1 2816 1993 2178
1 2867 1993 2214
1 4056 1998 2214
1 2866 1993 2214
1 2493 1991 2214
1 4055 1998 2214
1 3522 1996 2214
1 2368 1990 2214
1 4034 1998 2218
1 3229 1995 2218
1 2529 1991 2218
1 3110 1994 2218
1 3728 1997 2223
1 4471 2000 2223
1 4261 1999 2223
1 4260 1999 2223
1 2846 1993 2236
1 3723 1997 2236
1 3058 1994 2236
1 3263 1995 2236
1 2408 1991 2245
1 4175 1999 2245
1 3426 1996 2245
1 5072 2002 2245
1 2911 1993 2245
1 3635 1997 2245
1 3208 1995 2245
1 3009 1994 2245
1 3921 1998 2245
1 2511 1991 2252
1 2863 1993 2252
1 3658 1997 2260
1 3419 1996 2260
1 2801 1993 2260
1 3237 1995 2260
1 2621 1992 2260
1 3927 1998 2260
1 3027 1994 2260
1 3655 1997 2262
1 4348 2000 2262
1 3433 1996 2262
1 4347 2000 2262
1 2613 1992 2262
1 2836 1993 2262
1 3242 1995 2262
1 3973 1998 2262
1 3241 1995 2262
1 4177 1999 2262
1 3972 1998 2262
1 3050 1994 2262
1 2526 1991 2262
1 2835 1993 2262
1 3656 1997 2262
1 3432 1996 2262
1 2478 1991 2272
1 2475 1991 2275
1 3955 1998 2275
1 3437 1996 2275
1 2458 1991 2278
1 2906 1993 2278
1 3125 1994 2278
1 4035 1998 2278
1 3732 1997 2278
1 2446 1991 2291
1 3127 1994 2292
1 2934 1993 2292
1 4045 1998 2292
1 3762 1997 2292
1 3273 1995 2292
1 2675 1992 2292
1 2524 1991 2302
1 2527 1991 2315
1 2849 1993 2323
1 4403 2000 2323
1 4402 2000 2323
1 3202 1995 2323
1 3065 1994 2323
1 4023 1998 2323
1 3669 1997 2323
1 3066 1994 2323
1 4176 1999 2323
1 2607 1992 2323
1 2848 1993 2323
1 3670 1997 2323
1 4022 1998 2323
1 3115 1994 2339
1 2903 1993 2339
1 3114 1994 2339
1 3200 1995 2341
1 2455 1991 2341
1 3022 1994 2341
1 3970 1998 2342
1 3075 1994 2342
1 3279 1995 2342
1 2855 1993 2349
1 2941 1993 2351
1 2834 1993 2353
1 3746 1997 2353
1 3255 1995 2353
1 3917 1998 2353
1 3020 1994 2353
1 3918 1998 2353
1 2881 1993 2355
1 3044 1994 2356
1 2713 1992 2356
1 3780 1997 2358
1 3779 1997 2358
1 2928 1993 2358
1 3011 1994 2358
1 3060 1994 2359
1 2907 1993 2359
1 3244 1995 2359
1 2798 1993 2360
1 3005 1994 2360
1 3206 1995 2360
1 3761 1997 2361
1 2438 1991 2361
1 4032 1998 2361
1 3238 1995 2361
1 3028 1994 2361
1 3416 1996 2361
1 3663 1997 2362
1 3025 1994 2362
1 4019 1998 2362
1 3424 1996 2363
1 3215 1995 2363
1 3012 1994 2363
1 2635 1992 2363
1 2807 1993 2363
1 3672 1997 2363
1 2434 1991 2363
1 3199 1995 2364
1 3436 1996 2364
1 2804 1993 2364
1 4374 2000 2364
1 3013 1994 2364
1 2640 1992 2364
1 3665 1997 2364
1 2962 1993 2365
1 3021 1994 2365
1 3266 1995 2365
1 3645 1997 2365
1 3265 1995 2365
1 3713 1997 2366
1 3714 1997 2366
1 2851 1993 2366
1 3078 1994 2366
1 2502 1991 2366
1 3469 1996 2368
1 2870 1993 2368
1 2869 1993 2368
1 3715 1997 2369
1 3041 1994 2369
1 3931 1998 2369
1 3258 1995 2369
1 3227 1995 2373
1 3074 1994 2373
1 2510 1991 2374
1 2864 1993 2374
1 3246 1995 2374
1 3768 1997 2374
1 3076 1994 2375
1 3975 1998 2375
1 2608 1992 2375
1 3248 1995 2375
1 3423 1996 2375
1 4200 1999 2375
1 2860 1993 2375
1 3730 1997 2375
1 3292 1995 2376
1 3056 1994 2376
1 3438 1996 2376
1 2902 1993 2376
1 4040 1998 2377
1 4454 2000 2377
1 5734 2004 2377
1 2963 1993 2377
1 5126 2002 2377
1 3116 1994 2377
1 3738 1997 2377
1 5531 2003 2377
1 3280 1995 2377
1 4054 1998 2378
1 4150 1999 2379
1 4342 2000 2379
1 2795 1993 2379
1 3092 1994 2379
1 3642 1997 2379
1 3203 1995 2379
1 3509 1996 2379
1 3687 1997 2409
1 3240 1995 2409
1 3686 1997 2409
1 2817 1993 2409
1 3029 1994 2409
1 3001 1994 2414
1 2792 1993 2414
1 3284 1995 2417
1 3269 1995 2421
1 3503 1996 2421
1 3502 1996 2421
1 3895 1998 2421
1 3059 1994 2421
1 3268 1995 2421
1 3894 1998 2421
1 3008 1994 2431
1 2794 1993 2431
1 3293 1995 2447
1 3776 1997 2447
1 3538 1996 2447
1 3082 1994 2447
1 3775 1997 2447
1 2922 1993 2447
1 3685 1997 2460
1 3924 1998 2460
1 2799 1993 2460
1 4234 1999 2460
1 4335 2000 2460
1 3032 1994 2460
1 3231 1995 2460
1 3055 1994 2462
1 2829 1993 2462
1 2882 1993 2465
1 3453 1996 2465
1 3024 1994 2465
1 3660 1997 2465
1 3942 1998 2476
1 2812 1993 2479
1 3023 1994 2479
1 4153 1999 2479
1 4396 2000 2479
1 3971 1998 2479
1 3214 1995 2479
1 2871 1993 2523
1 2915 1993 2534
1 3097 1994 2534
1 3080 1994 2569
1 3525 1996 2571
1 4066 1998 2571
1 3129 1994 2571
1 3252 1995 2572
1 2853 1993 2572
1 3462 1996 2572
1 3036 1994 2572
1 3249 1995 2572
1 3019 1994 2607
1 3701 1997 2607
1 4169 1999 2607
1 3243 1995 2607
1 2938 1993 2608
1 3649 1997 2610
1 3948 1998 2611
1 3681 1997 2611
1 3545 1996 2611
1 3693 1997 2612
1 3470 1996 2612
1 3745 1997 2617
1 3744 1997 2617
1 3239 1995 2617
1 3409 1996 2623
1 3410 1996 2623
1 3683 1997 2623
1 3891 1998 2623
1 3209 1995 2627
1 2838 1993 2627
1 3007 1994 2627
1 4445 2000 2627
1 3267 1995 2631
1 4380 2000 2631
1 3692 1997 2631
1 3981 1998 2632
1 3694 1997 2632
1 3118 1994 2632
1 3247 1995 2632
1 3039 1994 2637
1 3483 1996 2637
1 3482 1996 2637
1 3291 1995 2637
1 3702 1997 2637
1 3703 1997 2637
1 5433 2003 2640
1 5432 2003 2640
1 4399 2000 2640
1 3654 1997 2640
1 5074 2002 2640
1 3801 1997 2641
1 3800 1997 2641
1 3283 1995 2641
1 2937 1993 2641
1 3514 1996 2641
1 3515 1996 2641
1 2852 1993 2643
1 3262 1995 2644
1 3062 1994 2644
1 2905 1993 2647
1 3447 1996 2651
1 4017 1998 2651
1 3234 1995 2651
1 3492 1996 2658
1 3742 1997 2658
1 3493 1996 2658
1 3741 1997 2658
1 3286 1995 2658
1 4235 1999 2659
1 3100 1994 2659
1 2919 1993 2663
1 3650 1997 2666
1 4190 1999 2668
1 4410 2000 2668
1 3919 1998 2668
1 3640 1997 2668
1 3018 1994 2676
1 3792 1997 2676
1 3793 1997 2676
1 4021 1998 2683
1 4180 1999 2683
1 3752 1997 2683
1 3751 1997 2683
1 4394 2000 2683
1 3464 1996 2688
1 3051 1994 2688
1 3288 1995 2695
1 3968 1998 2695
1 3517 1996 2695
1 3964 1998 2697
1 3963 1998 2697
1 3430 1996 2697
1 3675 1997 2697
1 3674 1997 2697
1 3527 1996 2698
1 3287 1995 2698
1 4004 1998 2699
1 5543 2003 2699
1 5134 2002 2699
1 4392 2000 2699
1 3282 1995 2699
1 4229 1999 2699
1 3040 1994 2699
1 4036 1998 2703
1 4241 1999 2703
1 3783 1997 2703
1 3716 1997 2706
1 2875 1993 2706
1 5087 2002 2706
1 3251 1995 2706
1 5140 2002 2707
1 3278 1995 2707
1 3953 1998 2707
1 3472 1996 2707
1 4452 2000 2707
1 3103 1994 2707
1 2943 1993 2707
1 3772 1997 2787
1 5443 2003 2787
1 5138 2002 2787
1 4000 1998 2787
1 4459 2000 2787
1 5444 2003 2787
