FID IID CapYear ID
1 1770 1992 1554
1 1923 1993 1554
1 691 1988 1554
1 1336 1991 1554
1 743 1988 1597
1 661 1988 1598
1 660 1988 1592
1 635 1988 1605
1 713 1988 1610
1 763 1988 1614
1 662 1988 1604
1 770 1988 1617
1 665 1988 1621
1 771 1988 1625
1 694 1988 1629
1 638 1988 1632
1 686 1988 1648
1 2113 1994 1649
1 2449 1995 1649
1 646 1988 1660
1 1699 1992 1660
1 2188 1994 1660
1 1174 1990 1660
1 1366 1991 1660
1 1664 1992 1662
1 4426 2001 1663
1 2147 1994 1663
1 1425 1991 1663
1 2514 1995 1663
1 2043 1993 1664
1 1367 1991 1664
1 1787 1992 1664
1 645 1988 1664
1 1100 1990 1664
1 2435 1995 1664
1 1720 1992 1666
1 2965 1997 1666
1 2209 1994 1666
1 1031 1989 1666
1 2437 1995 1666
1 1108 1990 1741
1 1385 1991 1741
1 2504 1995 1741
1 1025 1989 1746
1 1622 1992 1741
1 1173 1990 1769
1 1365 1991 1769
1 1698 1992 1784
1 2049 1993 1784
1 2697 1996 1784
1 2969 1997 1784
1 1482 1991 1784
1 1099 1990 1784
1 2306 1994 1784
1 1016 1989 1803
1 1218 1990 1803
1 1502 1991 1820
1 1205 1990 1821
1 2148 1994 1821
1 1039 1989 1825
1 1540 1991 1825
1 1193 1990 1825
1 2145 1994 1825
1 2966 1997 1834
1 1291 1991 1834
1 1718 1992 1834
1 1856 1993 1834
1 2387 1995 1834
1 2207 1994 1834
1 1270 1991 1835
1 1019 1989 1835
1 2967 1997 1876
1 1111 1990 1876
1 1719 1992 1876
1 2727 1996 1876
1 1293 1991 1876
1 1857 1993 1876
1 1048 1989 1876
1 2208 1994 1876
1 2378 1995 1876
1 1112 1990 1877
1 2111 1994 1877
1 1786 1992 1877
1 1023 1989 1878
1 2081 1993 1880
1 2814 1996 1880
1 1424 1991 1880
1 1127 1990 1880
1 1756 1992 1880
1 1035 1989 1880
1 2968 1997 1880
1 1646 1992 1882
1 1423 1991 1882
1 1022 1989 1883
1 1926 1993 1884
1 1875 1993 1885
1 1324 1991 1885
1 1757 1992 1885
1 2285 1994 1885
1 2187 1994 1887
1 1364 1991 1887
1 1041 1989 1887
1 1487 1991 1890
1 1876 1993 1890
1 2970 1997 1891
1 1110 1990 1891
1 1049 1989 1891
1 1292 1991 1891
1 2892 1996 1891
1 1988 1993 1899
1 2112 1994 1899
1 1703 1992 1899
1 1390 1991 1899
1 2284 1994 1878
1 1161 1990 1960
1 1644 1992 1981
1 2053 1993 2064
1 2803 1996 2064
1 1696 1992 2064
1 1363 1991 2064
1 1972 1993 2066
1 3797 1999 2066
1 3519 1998 2066
1 1676 1992 2066
1 1126 1990 2067
1 1323 1991 2067
1 2590 1996 2068
1 2146 1994 2068
1 1191 1990 2068
1 1532 1991 2069
1 1998 1993 2069
1 2891 1996 2069
1 1716 1992 2069
1 2122 1994 2069
1 2460 1995 2069
1 1383 1991 2069
1 1446 1991 2070
1 1659 1992 2070
1 1774 1992 2071
1 2412 1995 2071
1 2323 1994 2071
1 2971 1997 2071
1 3377 1998 2071
1 1645 1992 2072
1 2972 1997 2072
1 3378 1998 2072
1 1422 1991 2072
1 1192 1990 2072
1 2367 1995 2073
1 3379 1998 2073
1 2973 1997 2073
1 1697 1992 2073
1 1848 1993 2073
1 1269 1991 2073
1 1172 1990 2073
1 2205 1994 2073
1 2206 1994 2075
1 2389 1995 2075
1 1717 1992 2075
1 1858 1993 2075
1 2877 1996 2075
1 2844 1996 2076
1 2510 1995 2076
1 1941 1993 2076
1 1621 1992 2076
1 3173 1997 2076
1 1384 1991 2076
1 1472 1991 2066
1 1751 1992 2096
1 2974 1997 2096
1 1419 1991 2096
1 2879 1996 2096
1 2175 1994 2099
1 1878 1993 2099
1 1752 1992 2099
1 1320 1991 2099
1 1501 1991 2110
1 1766 1992 2115
1 2177 1994 2115
1 1333 1991 2115
1 1877 1993 2096
1 1443 1991 2120
1 1322 1991 2123
1 1879 1993 2126
1 1754 1992 2126
1 1420 1991 2126
1 1346 1991 2133
1 1780 1992 2135
1 1471 1991 2135
1 1486 1991 2138
1 1334 1991 2141
1 1495 1991 2142
1 1918 1993 2115
1 1421 1991 2143
1 2594 1996 2143
1 2064 1993 2146
1 2283 1994 2149
1 2975 1997 2154
1 1694 1992 2159
1 2052 1993 2159
1 1361 1991 2159
1 2787 1996 2159
1 2176 1994 2162
1 1321 1991 2162
1 2400 1995 2162
1 1643 1992 2143
1 2871 1996 2162
1 2976 1997 2162
1 1753 1992 2162
1 2726 1996 2163
1 1849 1993 2163
1 2203 1994 2163
1 1695 1992 2163
1 2363 1995 2163
1 2977 1997 2163
1 1266 1991 2163
1 3373 1998 2163
1 1715 1992 2164
1 1381 1991 2164
1 1940 1993 2165
1 2268 1994 2165
1 1611 1992 2165
1 1514 1991 2165
1 1620 1992 2167
1 2121 1994 2167
1 1995 1993 2167
1 3174 1997 2167
1 1382 1991 2167
1 2508 1995 2167
1 3518 1998 2168
1 1993 1993 2168
1 1543 1991 2169
1 2303 1994 2169
1 1335 1991 2169
1 2097 1993 2169
1 3151 1997 2169
1 2408 1995 2169
1 2691 1996 2169
1 1812 1992 2169
1 3374 1998 2169
1 1340 1991 2170
1 2089 1993 2170
1 2713 1996 2170
1 3375 1998 2170
1 2248 1994 2170
1 1880 1993 2162
1 2186 1994 2171
1 2980 1997 2171
1 2890 1996 2171
1 2048 1993 2171
1 1265 1991 2171
1 2978 1997 2172
1 2243 1994 2172
1 2805 1996 2172
1 1445 1991 2172
1 1960 1993 2172
1 1347 1991 2173
1 2785 1996 2174
1 1362 1991 2174
1 3760 1999 2174
1 2042 1993 2174
1 1755 1992 2174
1 1267 1991 2175
1 1444 1991 2176
1 1658 1992 2176
1 2596 1996 2176
1 1962 1993 2176
1 2480 1995 2177
1 2149 1994 2177
1 1507 1991 2177
1 1663 1992 2177
1 3239 1997 2177
1 2981 1997 2178
1 1714 1992 2178
1 2382 1995 2178
1 2732 1996 2178
1 3376 1998 2178
1 1290 1991 2178
1 2204 1994 2178
1 1859 1993 2178
1 1268 1991 2180
1 1704 1992 2214
1 1835 1993 2214
1 2862 1996 2214
1 2369 1995 2214
1 3148 1997 2214
1 2189 1994 2214
1 2979 1997 2170
1 2045 1993 2219
1 2626 1996 2223
1 4034 2000 2223
1 2448 1995 2218
1 4424 2001 2223
1 3756 1999 2223
1 2202 1994 2223
1 3436 1998 2223
1 2990 1997 2223
1 1796 1992 2236
1 3512 1998 2236
1 2056 1993 2223
1 2142 1994 2236
1 3552 1998 2239
1 2824 1996 2239
1 3178 1997 2239
1 2512 1995 2239
1 1976 1993 2245
1 3553 1998 2245
1 2489 1995 2245
1 4624 2001 2245
