FID IID BirthYear MumID
1 -135 2001 -2377
1 -130 2001 -2232
1 -129 2001 -2212
1 -126 2001 4321
1 -114 2001 -2272
1 -108 2001 -2288
1 -104 2001 -2217
1 -102 2001 -2193
1 -97 2001 -2249
1 -95 2001 -2271
1 -94 2001 7084
1 -90 2001 -2270
1 -75 2001 3662
1 -73 2001 -2269
1 -71 2001 -2239
1 -70 2001 -2268
1 -69 2001 -2267
1 -66 2001 7093
1 -58 2001 -2249
1 -50 2001 -2235
1 -46 2001 4503
1 -45 2001 -2266
1 -26 2001 4106
1 -21 2001 -2265
1 -15 2001 -2376
1 -14 2001 -2264
1 -13 2001 -2259
1 -8 2001 -2263
1 1920 1988 1098
1 1942 1988 755
1 1946 1988 13
1 1947 1988 1712
1 1963 1988 1089
1 1979 1988 36
1 1992 1988 749
1 1993 1988 1242
1 1994 1988 572
1 1999 1988 1262
1 2034 1988 1097
1 2037 1988 423
1 2127 1989 1109
1 2254 1990 1080
1 2257 1990 1090
1 2267 1990 1109
1 2268 1990 2165
1 2298 1990 751
1 2305 1990 1243
1 2308 1990 2067
1 2313 1990 1246
1 2318 1990 -2243
1 2389 1991 32
1 2391 1991 1226
1 2392 1991 1226
1 2397 1991 1243
1 2406 1991 1835
1 2407 1991 -2274
1 2408 1991 2245
1 2411 1991 1879
1 2415 1991 1264
1 2416 1991 2165
1 2418 1991 24
1 2419 1991 24
1 2420 1991 577
1 2424 1991 1288
1 2425 1991 2128
1 2426 1991 2273
1 2427 1991 2146
1 2428 1991 2146
1 2429 1991 -2275
1 2434 1991 2363
1 2435 1991 1097
1 2436 1991 1825
1 2437 1991 1825
1 2438 1991 2361
1 2440 1991 1899
1 2441 1991 1899
1 2442 1991 2143
1 2445 1991 1662
1 2446 1991 2291
1 2448 1991 1101
1 2449 1991 1242
1 2450 1991 1242
1 2451 1991 2164
1 2452 1991 2164
1 2453 1991 1082
1 2454 1991 1082
1 2455 1991 2341
1 2456 1991 2178
1 2458 1991 2278
1 2461 1991 1090
1 2463 1991 1665
1 2464 1991 567
1 2466 1991 906
1 2468 1991 1664
1 2469 1991 1664
1 2470 1991 1757
1 2471 1991 1757
1 2472 1991 1887
1 2473 1991 1887
1 2474 1991 910
1 2477 1991 2075
1 2478 1991 2272
1 2481 1991 1095
1 2483 1991 1769
1 2484 1991 1769
1 2485 1991 36
1 2489 1991 1255
1 2490 1991 54
1 2491 1991 1251
1 2493 1991 2214
1 2495 1991 2353
1 2497 1991 1109
1 2498 1991 1262
1 2499 1991 1289
1 2500 1991 1877
1 2501 1991 1877
1 2502 1991 2366
1 2504 1991 1660
1 2508 1991 1820
1 2510 1991 2374
1 2513 1991 1078
1 2516 1991 1880
1 2518 1991 1649
1 2519 1991 1554
1 2521 1991 2175
1 2524 1991 2302
1 2525 1991 1252
1 2526 1991 2262
1 2527 1991 2315
1 2528 1991 1882
1 2530 1991 751
1 2533 1991 1876
1 2537 1991 1246
1 2541 1991 2170
1 2543 1991 2311
1 2548 1991 902
1 2552 1991 2232
1 2554 1991 1821
1 2555 1991 1666
1 2556 1991 2219
1 2557 1991 34
1 2564 1991 1258
1 2566 1991 -2243
1 2794 1993 2431
1 2797 1993 2443
1 2802 1993 2356
1 2803 1993 2356
1 2806 1993 2164
1 2809 1993 1246
1 2810 1993 2569
1 2815 1993 54
1 2818 1993 2172
1 2822 1993 2163
1 2823 1993 577
1 2824 1993 577
1 2825 1993 24
1 2827 1993 1741
1 2831 1993 1891
1 2833 1993 2170
1 2835 1993 2262
1 2838 1993 2627
1 2839 1993 1552
1 2844 1993 1825
1 2846 1993 2236
1 2848 1993 2323
1 2849 1993 2323
1 2855 1993 2349
1 2857 1993 1899
1 2859 1993 1887
1 2862 1993 36
1 2864 1993 2374
1 2866 1993 2214
1 2867 1993 2214
1 2870 1993 2368
1 2875 1993 2706
1 2876 1993 1663
1 2877 1993 1663
1 2886 1993 2069
1 2887 1993 2069
1 2888 1993 1660
1 2889 1993 1660
1 2890 1993 1101
1 2891 1993 1101
1 2893 1993 1242
1 2895 1993 2075
1 2896 1993 1882
1 2897 1993 1882
1 2902 1993 2376
1 2904 1993 2532
1 2909 1993 2536
1 2912 1993 1288
1 2915 1993 2534
1 2918 1993 2686
1 2919 1993 2663
1 2920 1993 1877
1 2922 1993 2447
1 2926 1993 1079
1 2929 1993 1649
1 2930 1993 1109
1 2932 1993 2073
1 2934 1993 2292
1 2935 1993 1834
1 2937 1993 2641
1 2938 1993 2608
1 2939 1993 2698
1 2940 1993 2637
1 2947 1993 1876
1 2948 1993 32
1 2951 1993 2545
1 2952 1993 1821
1 2956 1993 2343
1 2958 1993 1251
1 2959 1993 2071
1 3000 1994 35
1 3005 1994 2360
1 3006 1994 2275
1 3007 1994 2627
1 3008 1994 2431
1 3012 1994 2363
1 3013 1994 2364
1 3015 1994 2401
1 3016 1994 1741
1 3017 1994 2066
1 3018 1994 2676
1 3019 1994 2607
1 3020 1994 2353
1 3022 1994 2341
1 3023 1994 2479
1 3025 1994 2362
1 3026 1994 2165
1 3028 1994 2361
1 3029 1994 2409
1 3030 1994 2172
1 3031 1994 2167
1 3032 1994 2460
1 3036 1994 2572
1 3037 1994 1664
1 3038 1994 2163
1 3039 1994 2637
1 3042 1994 2177
1 3044 1994 2356
1 3045 1994 1757
1 3046 1994 1757
1 3047 1994 1259
1 3050 1994 2262
1 3051 1994 2688
1 3052 1994 2549
1 3053 1994 1255
1 3054 1994 1899
1 3055 1994 2462
1 3059 1994 2421
1 3062 1994 2644
1 3063 1994 1820
1 3066 1994 2323
1 3067 1994 2064
1 3068 1994 30
1 3069 1994 30
1 3070 1994 1552
1 3071 1994 2075
1 3074 1994 2373
1 3077 1994 1072
1 3078 1994 2366
1 3080 1994 2569
1 3081 1994 1665
1 3082 1994 2447
1 3084 1994 1663
1 3085 1994 2069
1 3087 1994 1649
1 3090 1994 1225
1 3095 1994 2073
1 3096 1994 2073
1 3099 1994 1882
1 3103 1994 2707
1 3105 1994 1887
1 3106 1994 1885
1 3107 1994 1885
1 3108 1994 1660
1 3114 1994 2339
1 3115 1994 2339
1 3117 1994 2658
1 3118 1994 2632
1 3122 1994 2617
1 3124 1994 2374
1 3125 1994 2278
1 3126 1994 2686
1 3127 1994 2292
1 3128 1994 2666
1 3130 1994 32
1 3131 1994 2223
1 3135 1994 1258
1 3137 1994 1226
1 3139 1994 2076
1 3208 1995 2245
1 3220 1995 2066
1 3231 1995 2460
1 3241 1995 2262
1 3249 1995 2572
1 3269 1995 2421
1 3297 1995 2686
1 3315 1995 2921
1 3398 1996 2170
1 3399 1996 2341
1 3400 1996 2341
1 3403 1996 2853
1 3409 1996 2623
1 3416 1996 2361
1 3421 1996 3033
1 3424 1996 2363
1 3425 1996 2807
1 3426 1996 2245
1 3429 1996 2861
1 3430 1996 2697
1 3432 1996 2262
1 3433 1996 2262
1 3434 1996 2903
1 3436 1996 2364
1 3437 1996 2275
1 3438 1996 2376
1 3441 1996 3088
1 3444 1996 3121
1 3448 1996 3259
1 3449 1996 2821
1 3453 1996 2465
1 3455 1996 2409
1 3458 1996 2178
1 3459 1996 2178
1 3460 1996 2163
1 3461 1996 2163
1 3462 1996 2572
1 3464 1996 2688
1 3466 1996 2842
1 3467 1996 2842
1 3470 1996 2612
1 3472 1996 2707
1 3474 1996 3260
1 3475 1996 2536
1 3479 1996 2071
1 3480 1996 2064
1 3481 1996 3250
1 3482 1996 2637
1 3483 1996 2637
1 3486 1996 2172
1 3487 1996 3201
1 3491 1996 2377
1 3492 1996 2658
1 3494 1996 3123
1 3499 1996 2073
1 3500 1996 2073
1 3501 1996 2069
1 3502 1996 2421
1 3504 1996 2843
1 3505 1996 2686
1 3506 1996 3299
1 3513 1996 3014
1 3515 1996 2641
1 3517 1996 2695
1 3518 1996 3280
1 3519 1996 3298
1 3522 1996 2214
1 3523 1996 3209
1 3527 1996 2698
1 3529 1996 3293
1 3532 1996 2353
1 3535 1996 2365
1 3536 1996 3291
1 3541 1996 2617
1 3543 1996 2373
1 3544 1996 2373
1 3546 1996 2941
1 3547 1996 3324
1 3550 1996 2143
1 3551 1996 2632
1 3558 1996 2942
1 3566 1996 2223
1 3575 1996 54
1 3576 1996 54
1 3580 1996 3248
1 3582 1996 2479
1 3584 1996 56
1 3587 1996 55
1 3588 1996 2342
1 3591 1996 1665
1 3594 1996 2362
1 3595 1996 1251
1 3600 1996 3223
1 3603 1996 2292
1 3646 1997 2146
1 3647 1997 3123
1 3649 1997 2610
1 3650 1997 2666
1 3655 1997 2262
1 3656 1997 2262
1 3663 1997 2362
1 3664 1997 3222
1 3666 1997 1741
1 3667 1997 1741
1 3668 1997 2807
1 3671 1997 3199
1 3672 1997 2363
1 3673 1997 56
1 3674 1997 2697
1 3675 1997 2697
1 3678 1997 3319
1 3684 1997 2834
1 3685 1997 2460
1 3686 1997 2409
1 3687 1997 2409
1 3688 1997 3214
1 3690 1997 3263
1 3691 1997 2800
1 3694 1997 2632
1 3696 1997 2861
1 3697 1997 2172
1 3698 1997 3242
1 3701 1997 2607
1 3709 1997 2931
1 3712 1997 2169
1 3713 1997 2366
1 3714 1997 2366
1 3715 1997 2369
1 3719 1997 2075
1 3721 1997 2167
1 3722 1997 2830
