FID IID BirthYear
1 45 1992
1 577 1980
1 905 1982
1 1073 1983
1 1077 1983
1 1090 1983
1 1094 1983
1 1098 1983
1 1101 1983
1 1104 1983
1 1109 1983
1 1242 1984
1 1244 1984
1 1251 1984
1 1255 1984
1 1258 1984
1 1259 1984
1 1263 1984
1 1264 1984
1 1288 1984
1 1649 1986
1 1660 1986
1 1662 1986
1 1663 1986
1 1666 1986
1 1741 1987
1 1769 1987
1 1784 1987
1 1803 1987
1 1820 1987
1 1821 1987
1 1825 1987
1 1834 1987
1 1835 1987
1 1876 1987
1 1877 1987
1 1880 1987
1 1881 1987
1 1883 1987
1 1884 1987
1 1887 1987
1 1890 1987
1 1891 1987
1 1899 1987
1 1960 1988
1 2067 1988
1 2068 1988
1 2069 1988
1 2070 1988
1 2071 1988
1 2072 1988
1 2073 1988
1 2074 1988
1 2075 1988
1 2076 1988
1 2096 1989
1 2097 1989
1 2099 1989
1 2106 1989
1 2111 1989
1 2115 1989
1 2118 1989
1 2123 1989
1 2124 1989
1 2126 1989
1 2128 1989
1 2132 1989
1 2133 1989
1 2135 1989
1 2141 1989
1 2142 1989
1 2143 1989
1 2146 1989
1 2154 1989
1 2162 1989
1 2164 1989
1 2165 1989
1 2167 1989
1 2168 1989
1 2172 1989
1 2175 1989
1 2176 1989
1 2177 1989
1 2178 1989
1 2180 1989
1 2214 1989
1 2218 1990
1 2223 1990
1 2236 1990
1 2239 1990
1 2246 1990
1 2252 1990
1 2260 1990
1 2263 1990
1 2269 1990
1 2271 1990
1 2275 1990
1 2278 1990
1 2282 1990
1 2285 1990
1 2287 1990
1 2292 1990
1 2296 1990
1 2303 1990
1 2312 1990
1 2319 1990
1 2321 1990
1 2323 1990
1 2324 1990
1 2333 1990
1 2337 1990
1 2340 1990
1 2343 1990
1 2349 1990
1 2351 1990
1 2352 1990
1 2353 1990
1 2354 1990
1 2355 1990
1 2356 1990
1 2358 1990
1 2359 1990
1 2360 1990
1 2361 1990
1 2362 1990
1 2363 1990
1 2364 1990
1 2365 1990
1 2366 1990
1 2369 1990
1 2371 1990
1 2374 1990
1 2375 1990
1 2376 1990
1 2379 1990
1 2401 1991
1 2405 1991
1 2409 1991
1 2414 1991
1 2417 1991
1 2421 1991
1 2432 1991
1 2447 1991
1 2459 1991
1 2460 1991
1 2462 1991
1 2465 1991
1 2475 1991
1 2476 1991
1 2488 1991
1 2494 1991
1 2517 1991
1 2523 1991
1 2532 1991
1 2534 1991
1 2536 1991
1 2540 1991
1 2549 1991
1 2550 1991
1 2563 1991
1 2569 1991
1 2571 1991
1 2572 1991
1 2574 1991
1 2597 1992
1 2601 1992
1 2602 1992
1 2605 1992
1 2606 1992
1 2607 1992
1 2610 1992
1 2611 1992
1 2612 1992
1 2614 1992
1 2617 1992
1 2623 1992
1 2624 1992
1 2627 1992
1 2631 1992
1 2632 1992
1 2635 1992
1 2637 1992
1 2640 1992
1 2641 1992
1 2644 1992
1 2645 1992
1 2647 1992
1 2648 1992
1 2649 1992
1 2650 1992
1 2651 1992
1 2653 1992
1 2658 1992
1 2659 1992
1 2661 1992
1 2666 1992
1 2668 1992
1 2669 1992
1 2671 1992
1 2680 1992
1 2681 1992
1 2683 1992
1 2685 1992
1 2686 1992
1 2695 1992
1 2697 1992
1 2699 1992
1 2700 1992
1 2703 1992
1 2706 1992
1 2707 1992
1 2709 1992
1 2711 1992
1 2792 1993
1 2800 1993
1 2804 1993
1 2807 1993
1 2812 1993
1 2817 1993
1 2819 1993
1 2829 1993
1 2834 1993
1 2841 1993
1 2842 1993
1 2843 1993
1 2852 1993
1 2856 1993
1 2858 1993
1 2860 1993
1 2861 1993
1 2873 1993
1 2880 1993
1 2882 1993
1 2884 1993
1 2885 1993
1 2892 1993
1 2899 1993
1 2903 1993
1 2906 1993
1 2908 1993
1 2924 1993
